iter	Passed	Remaining
0	137	9500
1	138	4723
2	140	3126
3	141	2329
4	142	1850
5	143	1531
6	144	1301
7	145	1129
8	146	994
9	147	887
10	149	799
11	150	726
12	151	664
13	152	611
14	154	565
15	155	523
16	156	487
17	157	455
18	158	426
19	159	399
20	161	376
21	162	354
22	163	334
23	164	315
24	165	298
25	167	282
26	168	268
27	169	254
28	171	242
29	172	229
30	173	218
31	174	207
32	176	197
33	177	187
34	178	178
35	179	169
36	181	161
37	182	153
38	184	146
39	185	139
40	186	131
41	187	125
42	189	118
43	190	112
44	191	106
45	192	100
46	193	94
47	195	89
48	196	84
49	197	79
50	198	74
51	200	69
52	201	64
53	202	60
54	203	55
55	204	51
56	206	46
57	207	42
58	208	38
59	209	34
60	211	31
61	212	27
62	213	23
63	214	20
64	216	16
65	217	13
66	218	9
67	219	6
68	220	3
69	221	0
